operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_16p,estimated_ts_slope_ssd_16p,estimated_trMiB_beegfs_16p,estimated_ts_slope_beegfs_16p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
1,0,81.00746268656717,0.010352134704589844,16,16,0.097359878,[1],1,16,0.10632855049992815,1,134,mProject,148376-dc284,region-oversized.hdr,1,initial_data,,,22238.80538288799,0.017716107,4931.863549404491,0.017716107,,,,
1,1,81.00746268656717,0.010352134704589844,16,16,0.097359878,[1],1,16,0.10632855049992815,1,134,mProject,148376-dc284,poss2ukstu_blue_003_004.fits,1,initial_data,,,22238.80538288799,0.017716107,4931.863549404491,0.017716107,,,,
0,0,1.0485896445131375,0.010352134704589844,16,16,0.044082914,[1],1,16,0.23483326679787647,1,10352,mProject,148376-dc284,pposs2ukstu_blue_003_004.fits,1,,,,1443.1673475372327,1.8310745949074072,4818.578227557322,5.667179516,,,,
0,0,1.0485896445131375,0.010352134704589844,16,16,0.044082914,[1],1,16,0.23483326679787647,1,10352,mProject,148376-dc284,pposs2ukstu_blue_003_004_area.fits,1,,,,1443.1673475372327,1.8310745949074072,4818.578227557322,5.667179516,,,,
0,0,1.049400618716164,0.010352134704589844,16,16,0.04392845,[1],1,16,0.23565900241392182,1,10344,mProject,148374-dc284,pposs2ukstu_blue_003_002_area.fits,1,,,,1443.1677187757978,1.8310745949074072,4818.579376541419,5.667179516,,,,
1,0,66.18902439,0.010352134704589844,16,16,0.078285733,[1],1,16,0.13223526571041808,1,164,mProject,148374-dc284,region-oversized.hdr,1,initial_data,,,22102.161310001837,0.002280234,4910.868861913229,0.002280234,,,,
1,1,66.18902439,0.010352134704589844,16,16,0.078285733,[1],1,16,0.13223526571041808,1,164,mProject,148374-dc284,poss2ukstu_blue_003_002.fits,1,initial_data,,,22102.161310001837,0.002280234,4910.868861913229,0.002280234,,,,
0,0,1.049400618716164,0.010352134704589844,16,16,0.04392845,[1],1,16,0.23565900241392182,1,10344,mProject,148374-dc284,pposs2ukstu_blue_003_002.fits,1,,,,1443.1677187757978,1.8310745949074072,4818.579376541419,5.667179516,,,,
1,0,83.5,0.010352134704589844,16,16,0.072744013,[1],1,16,0.1423090956583581,1,130,mProject,148379-dc284,region-oversized.hdr,1,initial_data,,,22261.789616686277,0.0203125,4935.394963505585,0.0203125,,,,
1,1,83.5,0.010352134704589844,16,16,0.072744013,[1],1,16,0.1423090956583581,1,130,mProject,148379-dc284,poss2ukstu_blue_004_003.fits,1,initial_data,,,22261.789616686277,0.0203125,4935.394963505585,0.0203125,,,,
0,0,1.0504161021869556,0.010352134704589844,16,16,0.041224463,[1],1,16,0.25111630209931035,1,10334,mProject,148379-dc284,pposs2ukstu_blue_004_003_area.fits,1,,,,1443.168183632294,1.8310745949074072,4818.580815273201,5.667179516,,,,
