operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,totalTime,numNodes,tasksPerNode,bwMiB,storageType,opCount,taskName,taskPID,fileName
0,0,3723.344805,10.73069382,300,0.733048881,1,300,14.63844239,1,3022,freq,188417,chr.tar.gz
1,0,1950.282504,5.79369545,300,0.662349193,1,300,8.74719183,1,3115,freq,188417,chr.tar.gz
0,0,75453,0.071957588,300,1.77E-05,1,300,4074.377906,1,1,indiv,147697,chr.tar.gz
1,0,8191.921474,2421.758036,300,30.01787515,1,300,80.6771973,1,309988,indiv,147697,columns.txt
0,0,84798,0.080869675,300,2.66E-05,1,300,3037.815059,1,1,indiv,150509,chr.tar.gz
1,0,8191.922137,2421.703545,300,31.22893613,1,300,77.54678335,1,309981,indiv,150509,columns.txt
0,0,71049,0.067757607,300,2.30E-05,1,300,2947.264311,1,1,indiv,146432,chr.tar.gz
1,0,8191.921474,2421.758036,300,36.04550672,1,300,67.18612821,1,309988,indiv,146432,columns.txt
0,0,85370,0.081415176,300,1.97E-05,1,300,4128.558641,1,1,indiv,149716,chr.tar.gz
1,0,8191.922788,2421.789674,300,29.87794161,1,300,81.05610839,1,309992,indiv,149716,ALL.chr.250000.vcf
0,0,80959,0.077208519,300,1.67E-05,1,300,4620.497845,1,1,indiv,144737,chr.tar.gz
1,0,8191.930583,2421.83104,300,75.73037401,1,300,31.97965244,1,309997,indiv,144737,ALL.chr.250000.vcf
0,0,87518,0.083463669,300,2.24E-05,1,300,3734.225262,1,1,indiv,145669,chr.tar.gz
1,0,8191.91228,2421.833442,300,30.31552975,1,300,79.88755143,1,309998,indiv,145669,columns.txt
0,0,90931,0.086718559,300,3.26E-05,1,300,2659.99691,1,1,indiv,150133,chr.tar.gz
1,0,8191.927605,2421.806723,300,17.69924075,1,300,136.831108,1,309994,indiv,150133,columns.txt
0,0,93897,0.089547157,300,2.25E-05,1,300,3986.784083,1,1,indiv,148888,chr.tar.gz
1,0,8191.922137,2421.703545,300,35.17781594,1,300,68.84178225,1,309981,indiv,148888,ALL.chr.250000.vcf
0,0,456.0999334,1.305782318,300,13.62556352,1,300,0.095833271,1,3002,mutat,158226,
1,0,41514.87611,4.473858833,300,0.019729679,1,300,226.7578116,1,113,mutat,158226,columns.txt
0,0,81704,0.077919006,300,2.25E-05,1,300,3461.528492,1,1,indiv,148727,chr.tar.gz
1,0,8191.91223,2421.794365,300,24.51174822,1,300,98.80137246,1,309993,indiv,148727,columns.txt
0,0,89298,0.085161209,300,1.79E-05,1,300,4768.264788,1,1,indiv,148556,chr.tar.gz
1,0,8191.91228,2421.833442,300,35.23293832,1,300,68.73776522,1,309998,indiv,148556,ALL.chr.250000.vcf
0,0,116553.1111,1.000383377,300,0.003397716,1,300,294.4281915,1,9,indiv,188402,chr.tar.gz
1,0,33295.9845,4.096204758,300,0.018431423,1,300,222.2402881,1,129,indiv,188402,chr.tar.gz
0,0,85911,0.081931114,300,1.82E-05,1,300,4491.837401,1,1,indiv,144767,chr.tar.gz
1,0,8191.929238,2421.815018,300,72.18623041,1,300,33.54954268,1,309995,indiv,144767,ALL.chr.250000.vcf
0,0,74096,0.070663452,300,2.71E-05,1,300,2610.30077,1,1,indiv,148463,chr.tar.gz
1,0,8191.927605,2421.806723,300,19.10296114,1,300,126.7765089,1,309994,indiv,148463,columns.txt
0,0,93324,0.089000702,300,2.26E-05,1,300,3936.168321,1,1,indiv,149994,chr.tar.gz
1,0,8191.911931,2421.802089,300,18.64036119,1,300,129.9224872,1,309994,indiv,149994,ALL.chr.250000.vcf
0,0,82791,0.07895565,300,3.22E-05,1,300,2451.962682,1,1,indiv,145388,chr.tar.gz
1,0,8191.922788,2421.789674,300,14.35859656,1,300,168.66479,1,309992,indiv,145388,ALL.chr.250000.vcf
0,0,105722,0.100824356,300,3.71E-05,1,300,2715.368724,1,1,indiv,150840,chr.tar.gz
1,0,8191.922788,2421.789674,300,24.86315679,1,300,97.40475412,1,309992,indiv,150840,columns.txt
0,0,143773.7778,1.234020233,300,0.003397448,1,300,363.2197559,1,9,mutat,35208,chr.tar.gz
1,0,36535.72549,3.554004669,300,0.078106491,1,300,45.50203989,1,102,mutat,35208,chr.tar.gz
0,0,156351,1.341971397,300,0.002425001,1,300,553.3900388,1,9,mutat,153558,chr.tar.gz
1,0,47384.97521,5.467969894,300,0.01389542,1,300,393.5087888,1,121,mutat,153558,SIFT.chr.txt
0,0,66689,0.063599586,300,2.08E-05,1,300,3061.94148,1,1,indiv,144739,chr.tar.gz
1,0,8191.930583,2421.83104,300,75.79167262,1,300,31.95378802,1,309997,indiv,144739,columns.txt
0,0,429718.6316,15.57284164,300,0.025366893,1,300,613.9041799,1,38,indiv,153269,chr.tar.gz
1,0,141879.5909,17.86051369,300,0.024504778,1,300,728.8584164,1,132,indiv,153269,chr.tar.gz
0,0,73715,0.070300102,300,1.68E-05,1,300,4184.529895,1,1,indiv,147749,chr.tar.gz
1,0,8191.921474,2421.758036,300,30.87151032,1,300,78.4463737,1,309988,indiv,147749,ALL.chr.250000.vcf
0,0,74948,0.071475983,300,1.80E-05,1,300,3972.874363,1,1,indiv,144779,chr.tar.gz
1,0,8191.930583,2421.83104,300,74.9240962,1,300,32.32379386,1,309997,indiv,144779,ALL.chr.250000.vcf
