operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_4.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_1.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_2.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
1,0,1048576.0,3.0,1,1,0.001568525,[1],1,1,1912.6249183149773,1,3,PtyNN_train,258051-dlt04,X_train.npy,1,preprocess_data,,,18213.73976417016,1.0,2951.443770789888,1.0
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_7.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
1,0,1048576.0,3.0,1,1,0.001568525,[1],1,1,1912.6249183149773,1,3,PtyNN_train,258051-dlt04,Y_phi_train.npy,1,,,,18213.73976417016,1.0,2951.443770789888,1.0
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_5.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_3.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
1,0,1048576.0,3.0,1,1,0.001568525,[1],1,1,1912.6249183149773,1,3,PtyNN_train,258051-dlt04,Y_I_train.npy,1,,,,18213.73976417016,1.0,2951.443770789888,1.0
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_8.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_6.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
0,1,41795.30177514793,121.25139999389648,1,1,0.088201856,[1],1,1,1374.7034982336029,1,3042,PtyNN_train,258051-dlt04,simple_model_0_9.weights.h5,1,,,,1608.2527636888435,0.03609384744097343,2471.029655337275,0.03609384744097343
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_3.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_2.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_4.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_5.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_8.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_7.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_1.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_6.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,1,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,simple_model_0_9.weights.h5,2,PtyNN_train,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
1,0,6414.806710841675,43.39239501953125,1,1,0.186183895,[1],1,1,233.06202193015272,1,7093,PtyNN_inference,258052-dlt04,X_test.npy,2,preprocess_data,,,15999.185997949904,0.0022200585083885526,2451.6915187970385,0.0022200585083885526
0,0,128.0,0.0001220703125,1,1,1.1788e-05,[1],1,1,10.355472726501528,1,1,PtyNN_inference,258052-dlt04,Y_test_pred.npy,2,,,,519.0945905163809,0.06666666666666667,749.5599382684944,0.06666666666666667
0,0,128.0,0.000732421875,1,1,6.103e-05,[1],1,1,12.00101384564968,1,6,preprocess_data,257904-dlt04,X_train.npy,0,,,,519.0945998980542,0.06666666666666667,749.5599667637434,0.06666666666666667
0,0,128.0,0.000732421875,1,1,6.103e-05,[1],1,1,12.00101384564968,1,6,preprocess_data,257904-dlt04,X_test.npy,0,,,,519.0945998980542,0.06666666666666667,749.5599667637434,0.06666666666666667
0,0,128.0,0.000732421875,1,1,6.103e-05,[1],1,1,12.00101384564968,1,6,preprocess_data,257904-dlt04,Y_I_train.npy,0,,,,519.0945998980542,0.06666666666666667,749.5599667637434,0.06666666666666667
0,0,128.0,0.000732421875,1,1,6.103e-05,[1],1,1,12.00101384564968,1,6,preprocess_data,257904-dlt04,Y_I_test.npy,0,,,,519.0945998980542,0.06666666666666667,749.5599667637434,0.06666666666666667
0,0,128.0,0.000732421875,1,1,6.103e-05,[1],1,1,12.00101384564968,1,6,preprocess_data,257904-dlt04,Y_phi_train.npy,0,,,,519.0945998980542,0.06666666666666667,749.5599667637434,0.06666666666666667
1,0,1039774.5105633803,563.2323474884033,1,1,0.101430304,[1],1,1,5552.900122318507,1,568,preprocess_data,257904-dlt04,20191008_39_amp_pha_10nm_full.npy,0,initial_data,,,18282.203584790463,0.9915733288941677,2963.984977205038,0.9915733288941677
1,1,1039774.5105633803,563.2323474884033,1,1,0.101430304,[1],1,1,5552.900122318507,1,568,preprocess_data,257904-dlt04,20191008_39_diff.npz,0,initial_data,,,18282.203584790463,0.9915733288941677,2963.984977205038,0.9915733288941677
