operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,058a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,059a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,059z-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,060a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,060z-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,061z-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,062z-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,109c-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,121a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,143a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,144a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
