operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_ssd_12p,estimated_ts_slope_ssd_12p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_beegfs_12p,estimated_ts_slope_beegfs_12p
1,1,6632.008785332315,33.11652946472168,48,48,0.15322372,[4],,,216.13187217176085,1,5236,run_idfeature,185762-dc001,pr_rlut_mean_sam_2016080111.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5247.358544484664,26.26741886138916,48,48,0.125584164,[4],,,209.16187220380078,1,5249,run_idfeature,185762-dc001,cloudid_20160801_111500.nc,1,,,,1875.0380642908567,0.001102327,2767.803143527418,0.001102327,3770.2499936553463,0.001102327,7783.131776116568,0.001102327
0,1,5452.922270908744,27.29643726348877,48,48,0.08998683,[4],,,303.33813585264386,1,5249,run_idfeature,187189-dc003,cloudid_20160802_191500.nc,1,,,,1875.025778348433,0.001299137,2767.7879528686935,0.001299137,3770.441132132349,0.001299137,7783.458554680305,0.001299137
1,1,6632.008785332315,33.11652946472168,48,48,0.180106168,[4],,,183.87226729915034,1,5236,run_idfeature,187189-dc003,pr_rlut_mean_sam_2016080219.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5375.016003048199,26.90645122528076,48,48,0.120419661,[4],,,223.43902151726505,1,5249,run_idfeature,101192-dc002,cloudid_20160801_231500.nc,1,,,,1875.0304345780996,0.001224548,2767.7937099521446,0.001224548,3770.3686928666925,0.001224548,7783.334709395145,0.001224548
1,1,6632.008785332315,33.11652946472168,48,48,0.18236907,[4],,,181.59071307827406,1,5236,run_idfeature,101192-dc002,pr_rlut_mean_sam_2016080123.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5454.978662602401,27.30673122406006,48,48,0.110726295,[4],,,246.61469277970565,1,5249,run_idfeature,166668-dc004,cloudid_20160802_181500.nc,1,,,,1875.0256554439188,0.001301105,2767.7878009063556,0.001301105,3770.4430442186076,0.001301105,7783.461823665236,0.001301105
1,1,6632.008785332315,33.11652946472168,48,48,0.188947382,[4],,,175.26852774663837,1,5236,run_idfeature,166668-dc004,pr_rlut_mean_sam_2016080218.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5454.702800533435,27.305350303649902,48,48,0.099401719,[4],,,274.6969628,1,5249,run_idfeature,166672-dc004,cloudid_20160802_151500.nc,1,,,,1875.0256719313875,0.001300841,2767.7878212918904,0.001300841,3770.442787714911,0.001300841,7783.461385135481,0.001300841
1,1,6632.008785332315,33.11652946472168,48,48,0.199286522,[4],,,166.17545999785014,1,5236,run_idfeature,166672-dc004,pr_rlut_mean_sam_2016080215.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5044.712326157363,25.253005027770996,48,48,0.109808438,[4],,,229.97326514899518,1,5249,run_idfeature,101198-dc002,cloudid_20160801_081500.nc,1,,,,1875.0501758623582,0.000908311,2767.818118589399,0.000908311,3770.061567952936,0.000908311,7782.809635428991,0.000908311
1,1,6632.008785332315,33.11652946472168,48,48,0.195179311,[4],,,169.6723351212244,1,5236,run_idfeature,101198-dc002,pr_rlut_mean_sam_2016080108.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5441.714993332063,27.24033546447754,48,48,0.097976748,[4],,,278.0285733149414,1,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1,,,,1875.0264481746199,0.001288407,2767.7887810592106,0.001288407,3770.4307113153864,0.001288407,7783.440738803283,0.001288407
1,1,6632.008785332315,33.11652946472168,48,48,0.18862309,[4],,,175.5698597914056,1,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.176739832,[4],,,187.37445368128266,1,5236,run_idfeature,185761-dc001,pr_rlut_mean_sam_2016080116.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
