operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,0,81791.0,0.0780019760131836,300,300,4.895e-05,[10],,,1593.503085049716,1,1,individuals,6818-dc111,chr2n-2201-2401.tar.gz,1,,,,1885.2032933789421,0.0743862974877451,3823.54958381602,0.0743862974877451
1,1,8191.921474379654,2421.75803565979,300,300,19.632952451,[10],,,123.35169871694148,1,309988,individuals,6818-dc111,ALL.chr2.250000.vcf,1,initial_data,,,24820.15967517859,0.003921493445905765,3876.9329991014793,0.003921493445905765
1,1,8191.921474379654,2421.75803565979,300,300,19.632952451,[10],,,123.35169871694148,1,309988,individuals,6818-dc111,columns.txt,1,initial_data,,,24820.15967517859,0.003921493445905765,3876.9329991014793,0.003921493445905765
1,1,8191.912230276168,2421.794364929199,300,300,19.658823658,[10],,,123.19121464542307,1,309993,individuals,25051-dc135,ALL.chr3.250000.vcf,1,initial_data,,,24820.166444775197,0.003921484595469676,3876.9345786852778,0.003921484595469676
0,0,101056.0,0.09637451171875,300,300,5.0259e-05,[10],,,1917.557287625102,1,1,individuals,25051-dc135,chr3n-1201-1401.tar.gz,1,,,,1887.523735276297,0.09283088235294118,3837.252962447456,0.09283088235294118
1,1,8191.912230276168,2421.794364929199,300,300,19.658823658,[10],,,123.19121464542307,1,309993,individuals,25051-dc135,columns.txt,1,initial_data,,,24820.166444775197,0.003921484595469676,3876.9345786852778,0.003921484595469676
1,1,8191.922788330022,2421.789673805237,300,300,19.96961294,[10],,,121.27374131294688,1,309992,individuals,28580-dc257,ALL.chr8.250000.vcf,1,initial_data,,,24820.165599232438,0.003921494703900527,3876.9343813774494,0.003921494703900527
1,1,8191.922788330022,2421.789673805237,300,300,19.96961294,[10],,,121.27374131294688,1,309992,individuals,28580-dc257,columns.txt,1,initial_data,,,24820.165599232438,0.003921494703900527,3876.9343813774494,0.003921494703900527
0,0,87880.0,0.08380889892578125,300,300,3.8889e-05,[10],,,2155.079815006332,1,1,individuals,28580-dc257,chr8n-1401-1601.tar.gz,1,,,,1885.9367047837172,0.08021599264705882,3827.8807477135965,0.08021599264705882
1,1,8191.912230276168,2421.794364929199,300,300,19.657800875,[10],,,123.19762420674125,1,309993,individuals,25170-dc135,columns.txt,1,initial_data,,,24820.166444775197,0.003921484595469676,3876.9345786852778,0.003921484595469676
1,1,8191.912230276168,2421.794364929199,300,300,19.657800875,[10],,,123.19762420674125,1,309993,individuals,25170-dc135,ALL.chr3.250000.vcf,1,initial_data,,,24820.166444775197,0.003921484595469676,3876.9345786852778,0.003921484595469676
0,0,91223.0,0.08699703216552734,300,300,5.273e-05,[10],,,1649.8583759819335,1,1,individuals,25170-dc135,chr3n-4601-4801.tar.gz,1,,,,1886.3393643872914,0.08341662837009804,3830.2586555653947,0.08341662837009804
1,1,8191.928799979357,2422.0726985931396,300,300,20.216703937,[10],,,119.80551855242514,1,310028,individuals,194433-dc273,ALL.chr10.250000.vcf,1,initial_data,,,24820.218576395022,0.003921500459539059,3876.94674269422,0.003921500459539059
0,0,78159.0,0.0745382308959961,300,300,3.9999e-05,[10],,,1863.5023599589013,1,1,individuals,194433-dc273,chr10n-5601-5801.tar.gz,1,,,,1884.765824135693,0.07090896905637255,3820.9661075020113,0.07090896905637255
1,1,8191.928799979357,2422.0726985931396,300,300,20.216703937,[10],,,119.80551855242514,1,310028,individuals,194433-dc273,columns.txt,1,initial_data,,,24820.218576395022,0.003921500459539059,3876.94674269422,0.003921500459539059
1,1,979.9919328815747,2.896304130554199,10,10,0.009718649,[10],,,298.01509762871353,1,3099,frequency,41406-dc146,chr4n.tar.gz,3,individuals_merge,,,6807.249367824659,0.954158263418307,1881.6315905259762,0.954158263418307
1,1,979.9919328815747,2.896304130554199,10,10,0.009718649,[10],,,298.01509762871353,1,3099,frequency,41406-dc146,sifted.SIFT.chr4.txt,3,sifting,,,6807.249367824659,0.954158263418307,1881.6315905259762,0.954158263418307
0,0,1304.663227953411,3.7388925552368164,10,10,0.016321494,[10],,,229.0778378031335,1,3005,frequency,41406-dc146,chr4-AFR-freq.tar.gz,3,initial_data,,,1526.391366256733,0.09136172784941765,2769.7091969819876,0.09136172784941765
1,0,979.9919328815747,2.896304130554199,10,10,0.009718649,[10],,,298.01509762871353,1,3099,frequency,41406-dc146,columns.txt,3,initial_data,,,6807.249367824659,0.954158263418307,1881.6315905259762,0.954158263418307
0,0,47607.0,0.045401573181152344,300,300,2.566e-05,[10],,,1769.3520335601067,1,1,individuals,28562-dc257,chr8n-1-201.tar.gz,1,,,,1881.0858791137368,0.04165804993872549,3799.2341778914406,0.04165804993872549
1,1,8191.922788330022,2421.789673805237,300,300,19.976578235,[10],,,121.23145642441085,1,309992,individuals,28562-dc257,columns.txt,1,initial_data,,,24820.165599232438,0.003921494703900527,3876.9343813774494,0.003921494703900527
1,1,8191.922788330022,2421.789673805237,300,300,19.976578235,[10],,,121.23145642441085,1,309992,individuals,28562-dc257,ALL.chr8.250000.vcf,1,initial_data,,,24820.165599232438,0.003921494703900527,3876.9343813774494,0.003921494703900527
0,0,79638.0,0.07594871520996094,300,300,5.0539e-05,[10],,,1502.7743962080956,1,1,individuals,194456-dc273,chr10n-4401-4601.tar.gz,1,,,,1884.9439675857934,0.07232498468137255,3822.0181343380295,0.07232498468137255
1,1,8191.928799979357,2422.0726985931396,300,300,20.222407968,[10],,,119.77172562366633,1,310028,individuals,194456-dc273,columns.txt,1,initial_data,,,24820.218576395022,0.003921500459539059,3876.94674269422,0.003921500459539059
1,1,8191.928799979357,2422.0726985931396,300,300,20.222407968,[10],,,119.77172562366633,1,310028,individuals,194456-dc273,ALL.chr10.250000.vcf,1,initial_data,,,24820.218576395022,0.003921500459539059,3876.94674269422,0.003921500459539059
0,0,1089.4474034620505,3.1210899353027344,10,10,0.016417037,[10],,,190.1128647820392,1,3004,frequency,8352-dc111,chr2-EAS-freq.tar.gz,3,initial_data,,,1516.6726331741372,0.02130449331446956,2760.166804526366,0.02130449331446956
1,0,1203.586130462318,3.624844551086426,10,10,0.010241623,[10],,,353.9326287529258,1,3158,frequency,8352-dc111,columns.txt,3,initial_data,,,16200.521987840288,0.05845902684320244,2765.2276773239087,0.05845902684320244
1,1,1203.586130462318,3.624844551086426,10,10,0.010241623,[10],,,353.9326287529258,1,3158,frequency,8352-dc111,sifted.SIFT.chr2.txt,3,sifting,,,16200.521987840288,0.05845902684320244,2765.2276773239087,0.05845902684320244
1,1,1203.586130462318,3.624844551086426,10,10,0.010241623,[10],,,353.9326287529258,1,3158,frequency,8352-dc111,chr2n.tar.gz,3,individuals_merge,,,16200.521987840288,0.05845902684320244,2765.2276773239087,0.05845902684320244
0,0,609.3802863802864,1.745194435119629,10,10,0.015596797,[10],,,111.89441236682306,1,3003,frequency,41420-dc146,chr4-SAS-freq.tar.gz,3,initial_data,,,668.5193928905733,0.568104464979465,1620.0073510940472,0.568104464979465
1,0,977.3084866085834,2.888373374938965,10,10,0.009766922,[10],,,295.7301568435751,1,3099,frequency,41420-dc146,columns.txt,3,initial_data,,,6799.079859956171,0.951363006883941,1879.7372793825978,0.951363006883941
1,1,977.3084866085834,2.888373374938965,10,10,0.009766922,[10],,,295.7301568435751,1,3099,frequency,41420-dc146,chr4n.tar.gz,3,individuals_merge,,,6799.079859956171,0.951363006883941,1879.7372793825978,0.951363006883941
